measure,r_s,r_av,n
PV [mm/s],0.8697566830164196,0.9322416713721063,697
Elbow angular PV [deg/s],0.7969928658087143,0.7651044607566347,695
Time to PV [s],0.9337804337913835,0.9333709768492378,697
Time to first PV [s],0.8991099027320186,0.9378881987577641,697
Number of movement units [n],0.5281681013743803,0.717673630717109,697
Total movement time [s],0.9969176633104636,0.9988706945228685,697
Interjoint coordination,0.47955034362651977,0.6578204404291361,695
Trunk displacement [mm],0.9183910429045214,0.9390175042348957,695
Shoulder flexion [deg],0.26241941952748044,0.18802936194240544,695
Elbow extension [deg],0.896538641093485,0.8836815358554491,695
Shoulder abduction [deg],0.6994205212199116,0.681535855448899,695
